"semana","total_defunciones_domicilio","total_defunciones_hospitales","hospitalizados_totales_cdmx","camas_intubados_cdmx","camas_generales_cdmx","total_defunciones_domicilio_predicted"
2020-03-29,0,23,347.285714285714,117.285714285714,230,-21.6336960133537
2020-04-05,5,125,692.285714285714,209.571428571429,482.714285714286,-11.3890989128357
2020-04-12,2,272,1209.42857142857,371.142857142857,838.285714285714,3.96719156495938
2020-04-19,29,657,1976.28571428571,581.571428571429,1394.71428571429,26.7386189917008
2020-04-26,70,1210,2819.14285714286,789.857142857143,2029.28571428571,51.7668272289912
2020-05-03,124,1498,3389.14285714286,886.142857142857,2503,68.6926833081079
2020-05-10,119,1609,3954.28571428571,959.142857142857,2995.14285714286,85.4743090346707
2020-05-17,151,1771,4473.71428571429,1104.57142857143,3369.14285714286,154.491816907484
2020-05-24,141,1522,4435.28571428571,1070.85714285714,3364.42857142857,146.084791475472
2020-05-31,130,1446,4473.14285714286,1077,3396.14285714286,154.366805376896
2020-06-07,113,1368,4429.28571428571,1029,3400.28571428571,144.772170404303
2020-06-14,81,1203,4244,987,3257,104.237181611295
2020-06-21,76,949,3928,941.428571428571,2986.57142857143,84.6937683032027
2020-06-28,62,880,3725.57142857143,919.285714285714,2806.28571428571,78.6827562570602
2020-07-05,53,798,3544.71428571429,868.571428571429,2676.14285714286,73.3122966590247
2020-07-12,64,754,3391,817.571428571429,2573.42857142857,68.7478302076138
2020-07-19,47,675,3406.57142857143,794.857142857143,2611.71428571429,69.2102157496247
2020-07-26,44,635,3388,828.142857142857,2559.85714285714,68.6587467545658
2020-08-02,36,716,3163.28571428571,808.428571428571,2354.85714285714,61.9859719143526
2020-08-09,44,583,2892.28571428571,718.428571428571,2173.85714285714,53.9387666556849
2020-08-16,32,550,2821.42857142857,685.428571428571,2136,51.8347003360754
2020-08-23,38,597,2841.71428571429,704.285714285714,2137.42857142857,52.4370741614474
2020-08-30,44,582,2884,689.285714285714,2194.71428571429,53.6927266425047
2020-09-06,39,577,2894.71428571429,690.285714285714,2204.42857142857,54.0108818319618
2020-09-13,39,546,2830,700.857142857143,2129.14285714286,52.089224487641
2020-09-20,35,554,2684.14285714286,687.428571428571,1996.71428571429,47.758071841832
2020-09-27,47,523,2589.28571428571,668.571428571429,1920.71428571429,44.9413378978386
2020-10-04,35,593,2584.85714285714,666.714285714286,1918.14285714286,44.809833752863
2020-10-11,47,531,2678.28571428571,687.571428571429,1990.71428571429,47.5841470049288
2020-10-18,40,578,2768,715.428571428571,2052.57142857143,50.2481664579827
2020-10-25,49,599,2850.28571428571,727.857142857143,2122.42857142857,52.6915983130131
2020-11-01,52,671,2887.14285714286,737,2150.14285714286,53.7860521647455
2020-11-08,60,745,3138.57142857143,796.428571428571,2342.14285714286,61.252093944005
2020-11-15,77,896,3385,847,2538,68.5696633015178
2020-11-22,95,959,3587,874,2713,74.567949140082
2020-11-29,153,1067,3900.57142857143,920.714285714286,2979.85714285714,83.8792910181925
2020-12-06,230,1309,4330.14285714286,993.571428571429,3336.57142857143,123.082669847366
2020-12-13,333,1564,4875.28571428571,1172.42857142857,3702.85714285714,242.343670027875
2020-12-20,437,1852,5513.42857142857,1454.85714285714,4058.57142857143,381.950296811505
2020-12-27,478,2179,6095.42857142857,1606.42857142857,4489,509.27454071491
2021-01-03,599,2441,6558,1652.28571428571,4905.71428571429,610.47137472552
2021-01-10,831,2612,7042.71428571429,1787.71428571429,5255,716.512405546398
2021-01-17,870,2818,7313.85714285714,1873.28571428571,5440.57142857143,775.830376810183
2021-01-24,721,2563,7230.71428571429,1856.85714285714,5373.85714285714,757.641199109697
2021-01-31,550,2162,6735.28571428571,1801.28571428571,4934,649.256202090304
2021-02-07,351,1692,5991.42857142857,1649,4342.42857142857,486.522442147979
2021-02-14,247,1444,5167,1490.71428571429,3676.28571428571,306.162056392812
